microbe,status
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__Adlercreutzia;_s__.1,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__Atopobium,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__Atopobium;_s__,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__Collinsella,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__Collinsella;_s__,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__Collinsella;_s__.1,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__Collinsella;_s__aerofaciens,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__Collinsella;_s__stercoris,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__Eggerthella;_s__lenta,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__Enterococcus;_s__casseliflavus,kept
k__Bacteria;_p__Actinobacteria;_c__Coriobacteriia;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__Slackia;_s__,kept
k__Bacteria;_p__Bacteroidetes,kept
k__Bacteria;_p__Bacteroidetes.1,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales.1,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales.2,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales.3,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales.4,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales.5,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides.1,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides.2,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides.3,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides.4,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides.5,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides.6,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides.7,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__.1,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__.2,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__.3,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__.4,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__.5,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__.6,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__acidifaciens,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__barnesiae,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__caccae,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__caccae.1,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__coprophilus,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__eggerthii,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__eggerthii.1,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__fragilis,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__fragilis.1,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__ovatus,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__ovatus.1,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__ovatus.2,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__plebeius,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__plebeius.1,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__plebeius.2,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__uniformis,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidaceae;_g__Bacteroides;_s__uniformis.1,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Porphyromonadaceae;_g__Parabacteroides,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Porphyromonadaceae;_g__Parabacteroides;_s__,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Porphyromonadaceae;_g__Parabacteroides;_s__.1,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Porphyromonadaceae;_g__Parabacteroides;_s__.2,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Porphyromonadaceae;_g__Parabacteroides;_s__.3,kept
k__Bacteria;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Porphyromonadaceae;_g__Parabacteroides;_s__distasonis,kept
