microbe,status,taxonomy_level,nonzero_fraction,mean_nonzero_abund,std_abund,prevalence_datasets,cv_across_datasets,mean_MI_with_target
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__uncultured,kept,genus,0.06229081442915582,0.0014368193368544822,0.0008588962485594806,0.4,2.1142665419872526,0.011392108572264137
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium,kept,genus,0.3311640014875418,0.05834386063874218,0.06461655220338589,0.6333333333333333,1.2777329741768662,0.010951897995840516
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis,kept,genus,0.2155076236519152,0.0041649686628309575,0.008628958061002908,0.6333333333333333,1.2863314730786448,0.018992157898355268
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus,kept,genus,0.13034585347712904,0.017380562492970545,0.016010245366814894,0.26666666666666666,1.93719969984362,0.009326973583668585
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum,kept,genus,0.1017106731126813,0.022927442540723677,0.015843497199734675,0.4,1.948326087313273,0.010873533986791695
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1819,kept,genus,0.11342506507995537,0.005621443179401095,0.006386439707167119,0.4,1.8332161311775623,0.011326169004714696
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f___Eubacterium__coprostanoligenes_group;g___Eubacterium__coprostanoligenes_group,kept,genus,0.09613239122350316,0.016266092496677445,0.020627664065127577,0.26666666666666666,1.8807131416487533,0.02230763788146013
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_AD3011_group,kept,genus,0.025102268501301598,0.0019825080834155098,0.0006272366211076723,0.26666666666666666,1.9755082594049127,0.008723908155804238
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Clostridioides,kept,genus,0.023056898475269618,0.00988562323482171,0.002671690025862687,0.13333333333333333,2.9858787271186125,0.014881468439984887
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter,kept,genus,0.060989215321680924,0.008249893685223872,0.003965133829339959,0.36666666666666664,2.008686784297997,0.013746776421105066
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus,kept,genus,0.016177017478616586,0.00411679895887651,0.0032509851193076485,0.23333333333333334,2.276078816683335,0.019119019467058976
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia,kept,genus,0.01171439196727408,0.010155592589568578,0.003512951991613306,0.13333333333333333,3.609660574317569,0.012881360226451826
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Anaerococcus,kept,genus,0.08460394198586835,0.002724768567223153,0.00406513332250765,0.36666666666666664,2.2927459581053045,0.009575403583871885
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Finegoldia,kept,genus,0.09892153216809223,0.0032903740587138576,0.004193132063240283,0.23333333333333334,2.7570293497592693,0.018170771244177732
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Peptoniphilus,kept,genus,0.0695425808850874,0.0023491052711333777,0.002445717818552284,0.36666666666666664,2.3385829601202706,0.015152787722170302
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium,kept,genus,0.050204537002603196,0.021256889921701553,0.01368158551447552,0.5,1.5717023449314749,0.0158240893304481
