microbe,status
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacilli_unclassified;f__Bacilli_unclassified;g__Bacilli_unclassified;s__Bacilli_bacterium,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacilli_unclassified;f__Bacilli_unclassified;g__Bacilli_unclassified;s__Bacilli_unclassified_SGB6422,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacilli_unclassified;f__Bacilli_unclassified;g__Bacilli_unclassified;s__Bacilli_unclassified_SGB6428,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacilli_unclassified;f__Bacilli_unclassified;g__Bacilli_unclassified;s__Bacilli_unclassified_SGB6473,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacilli_unclassified;f__Bacilli_unclassified;g__Bacilli_unclassified;s__Bacilli_unclassified_SGB6478,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacilli_unclassified;f__Bacilli_unclassified;g__Bacilli_unclassified;s__Bacilli_unclassified_SGB6540,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacilli_unclassified;f__Bacilli_unclassified;g__GGB4676,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacilli_unclassified;f__Bacilli_unclassified;g__GGB4676;s__GGB4676_SGB6465,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__Granulicatella_adiacens,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_gasseri,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus,kept
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,kept
