phenotype,dataset,protocol,auc
Delivery_mode_year Amplicon,ERP111347 NOMIC_T1year,Within Learning,0.5623100303951368
Delivery_mode_year Amplicon,PRJEB48451 JORVI_T1year,Within Learning,0.6136363636363636
Delivery_mode_year Amplicon,PRJNA273694 SKOT1_T1year,Within Learning,0.7333333333333334
Delivery_mode_year Amplicon,PRJNA273694 SKOT2_T1year,Within Learning,0.8142857142857143
Delivery_mode_year Amplicon,PRJNA296814 NHBCS_T1year,Within Learning,0.7039473684210527
Delivery_mode_year Amplicon,PRJNA417357 COPSAC_T1year,Within Learning,0.6019900497512438
Delivery_mode_year Amplicon,PRJNA510423 ABIS_T1year,Within Learning,0.8028169014084507
Delivery_mode_year Amplicon,SRP152384 OULU_T1year,Within Learning,0.8166666666666667
PD Amplicon,PRJEB27564,LODO,0.6767511177347243
PD Amplicon,PRJEB30615,LODO,0.7571794871794872
PD Amplicon,PRJNA381395,LODO,0.6568825910931174
PD Amplicon,PRJNA601994,LODO,0.6410098936599811
PD Amplicon,PRJEB27564,Internal Validation,0.7955826351865956
PD Amplicon,PRJEB30615,Internal Validation,0.7196210801393728
PD Amplicon,PRJNA381395,Internal Validation,0.8262527233115469
PD Amplicon,PRJNA601994,Internal Validation,0.8576661433804291
PD Amplicon,PRJEB27564,Within Learning,0.5944055944055944
PD Amplicon,PRJEB30615,Within Learning,1.0
PD Amplicon,PRJNA381395,Within Learning,0.65
PD Amplicon,PRJNA601994,Within Learning,0.6985446985446986
T2D Amplicon,PRJNA448494,LODO,0.533225806451613
T2D Amplicon,PRJNA505546,LODO,0.5459001782531195
T2D Amplicon,PRJNA448494,Internal Validation,0.9065934065934066
T2D Amplicon,PRJNA505546,Internal Validation,0.6576923076923077
T2D Amplicon,PRJNA448494,Within Learning,0.6576923076923077
T2D Amplicon,PRJNA505546,Within Learning,0.9065934065934066
UC Metagenomics,PRJNA389280_UC,LODO,0.8555555555555555
UC Metagenomics,PRJNA400072_UC,LODO,0.8287124060150376
UC Metagenomics,PRJNA487636_UC,LODO,0.8020833333333333
UC Metagenomics,PRJNA389280_UC,Internal Validation,0.925
UC Metagenomics,PRJNA400072_UC,Internal Validation,0.9583333333333334
UC Metagenomics,PRJNA487636_UC,Internal Validation,0.9464285714285714
UC Metagenomics,PRJNA389280_UC,Within Learning,0.5
UC Metagenomics,PRJNA400072_UC,Within Learning,0.9602272727272727
UC Metagenomics,PRJNA487636_UC,Within Learning,0.9384615384615385
