phenotype,dataset,protocol,auc
CRC Metagenomics,PRJEB27928,Within Learning,0.9006410256410255
CRC Metagenomics,PRJEB6070,Within Learning,0.7044534412955465
CRC Metagenomics,PRJEB7774,Within Learning,0.7982456140350876
CRC Metagenomics,PRJNA447983,Within Learning,0.888888888888889
ASD Metagenomics,PRJEB23052,LODO,0.9182295573893473
ASD Metagenomics,PRJNA451479,LODO,0.7627777777777778
ASD Metagenomics,PRJNA516054,LODO,0.3151515151515151
ASD Metagenomics,PRJNA686821,LODO,0.78375
ASD Metagenomics,PRJEB23052,Internal Validation,0.861111111111111
ASD Metagenomics,PRJNA451479,Internal Validation,0.9206730769230769
ASD Metagenomics,PRJNA516054,Internal Validation,0.9841269841269842
ASD Metagenomics,PRJNA686821,Internal Validation,0.9254807692307693
ASD Metagenomics,PRJEB23052,Within Learning,1.0
ASD Metagenomics,PRJNA451479,Within Learning,1.0
ASD Metagenomics,PRJNA516054,Within Learning,0.9583333333333333
ASD Metagenomics,PRJNA686821,Within Learning,1.0
